uniprot	gene	synonyms
Q96CW6	SLC7A6OS	SLC7A6OS
Q96CX2	KCTD12	KCTD12,C13orf2,KIAA1778,PFET1
Q96D46	NMD3	NMD3,CGI-07
Q96D71	REPS1	REPS1
Q96DF8	ESS2	ESS2,DGCR13,DGCR14,DGSH,DGSI,ES2
Q96DR7	ARHGEF26	ARHGEF26,SGEF,HMFN1864
Q96DY7	MTBP	MTBP
Q96E09	PABIR1	PABIR1,C9orf42,FAM122A
Q96E39	RBMXL1	RBMXL1
Q96EB6	SIRT1	SIRT1,SIR2L1
Q96EC8	YIPF6	YIPF6
Q96EI5	TCEAL4	TCEAL4,NPD017
Q96EN8	MOCOS	MOCOS
Q96EP0	RNF31	RNF31,ZIBRA
Q96ER3	SAAL1	SAAL1
Q96EU6	RRP36	RRP36,C6orf153,HSPC253
Q96EV2	RBM33	RBM33,PRR8
Q96EY5	MVB12A	MVB12A,CFBP,FAM125A
Q96F44	TRIM11	TRIM11,RNF92
Q96F63	CCDC97	CCDC97
Q96F86	EDC3	EDC3,LSM16,YJDC,YJEFN2,PP844
Q96FC7	PHYHIPL	PHYHIPL,KIAA1796,UNQ6309/PRO20934
Q96FF7	MISP3	MISP3
Q96FJ0	STAMBPL1	STAMBPL1,AMSHLP,KIAA1373
Q96FQ6	S100A16	S100A16,S100F,AAG13
Q96FS4	SIPA1	SIPA1,SPA1
Q96FV2	SCRN2	SCRN2
Q96FV9	THOC1	THOC1,HPR1
Q96FW1	OTUB1	OTUB1,OTB1,OTU1,HSPC263
Q96G03	PGM2	PGM2,MSTP006
Q96G46	DUS3L	DUS3L
Q96G74	OTUD5	OTUD5
Q96GM8	TOE1	TOE1
Q96GN5	CDCA7L	CDCA7L,HR1,JPO2,R1
Q96GX5	MASTL	MASTL,GW,GWL,THC2
Q96GX9	APIP	APIP,CGI-29
Q96GY0	ZC2HC1A	ZC2HC1A,C8orf70,FAM164A,CGI-62
Q96GZ6	SLC41A3	SLC41A3
Q96H12	MSANTD3	MSANTD3,C9orf30,L8
Q96HC4	PDLIM5	PDLIM5,ENH,L9
Q96HH9	GRAMD2B	GRAMD2B,GRAMD3,NS3TP2
Q96HP0	DOCK6	DOCK6,KIAA1395
Q96HR8	NAF1	NAF1
Q96I24	FUBP3	FUBP3,FBP3
Q96I25	RBM17	RBM17,SPF45
Q96IF1	AJUBA	AJUBA,JUB
Q96II8	LRCH3	LRCH3
Q96IY1	NSL1	NSL1,C1orf48,DC31,DC8,MIS14
Q96IZ0	PAWR	PAWR,PAR4
Q96J92	WNK4	WNK4,PRKWNK4
Q96JB2	COG3	COG3,SEC34
Q96JC9	EAF1	EAF1
Q96JG6	VPS50	VPS50,CCDC132,KIAA1861
Q96JH7	VCPIP1	VCPIP1,KIAA1850,VCIP135
Q96JK2	DCAF5	DCAF5,BCRG2,KIAA1824,WDR22
Q96JM2	ZNF462	ZNF462,KIAA1803
Q96JM3	CHAMP1	CHAMP1,C13orf8,CAMP,CHAMP,KIAA1802,ZNF828
Q96JN8	NEURL4	NEURL4,KIAA1787
Q96JP0	FEM1C	FEM1C,KIAA1785
Q96JP2	MYO15B	MYO15B,KIAA1783,MYO15BP
Q96JP5	ZFP91	ZFP91,ZNF757,FKSG11
Q96JQ2	CLMN	CLMN,KIAA1188
Q96JY6	PDLIM2	PDLIM2,PP6345
Q96K21	ZFYVE19	ZFYVE19,ANCHR,MPFYVE
Q96K76	USP47	USP47
Q96KB5	PBK	PBK,TOPK
Q96KG9	SCYL1	SCYL1,CVAK90,GKLP,NTKL,TAPK,TEIF,TRAP,HT019
Q96KN1	LRATD2	LRATD2,BCMP101,FAM84B,NSE2
Q96KN4	LRATD1	LRATD1,FAM84A,NSE1
Q96KQ4	PPP1R13B	PPP1R13B,ASPP1,KIAA0771
Q96KR1	ZFR	ZFR
Q96L73	NSD1	NSD1,ARA267,KMT3B
Q96L91	EP400	EP400,CAGH32,KIAA1498,KIAA1818,TNRC12
Q96L93	KIF16B	KIF16B,C20orf23,KIAA1590,SNX23
Q96LD4	TRIM47	TRIM47,GOA,RNF100
Q96LT9	RNPC3	RNPC3,KIAA1839,RBM40,RNP,SNRNP65
Q96MG7	NSMCE3	NSMCE3,HCA4,MAGEG1,NDNL2
Q96MH2	HEXIM2	HEXIM2,L3
Q96MU7	YTHDC1	YTHDC1,KIAA1966,YT521
Q96MW1	CCDC43	CCDC43
Q96MX3	ZNF48	ZNF48,ZNF553
Q96MY1	NOL4L	NOL4L,C20orf112,C20orf113
Q96N64	PWWP2A	PWWP2A,KIAA1935,MST101
Q96N67	DOCK7	DOCK7,KIAA1771
Q96N96	SPATA13	SPATA13
Q96NB3	ZNF830	ZNF830,CCDC16
Q96NE9	FRMD6	FRMD6,C14orf31
Q96NW4	ANKRD27	ANKRD27,PP12899
Q96NY7	CLIC6	CLIC6,CLIC1L
Q96NY9	MUS81	MUS81
Q96P16	RPRD1A	RPRD1A,P15RS
Q96P47	AGAP3	AGAP3,CENTG3
Q96P48	ARAP1	ARAP1,CENTD2,KIAA0782
Q96PK6	RBM14	RBM14,SIP
Q96PN7	TRERF1	TRERF1,BCAR2,RAPA,TREP132
Q96PU4	UHRF2	UHRF2,NIRF,RNF107
Q96PU5	NEDD4L	NEDD4L,KIAA0439,NEDL3
Q96PY5	FMNL2	FMNL2,FHOD2,KIAA1902
Q96PY6	NEK1	NEK1,KIAA1901
Q96PZ0	PUS7	PUS7,KIAA1897
Q96Q05	TRAPPC9	TRAPPC9,KIAA1882,NIBP,T1
Q96Q15	SMG1	SMG1,ATX,KIAA0421,LIP
Q96Q42	ALS2	ALS2,ALS2CR6,KIAA1563
Q96QC0	PPP1R10	PPP1R10,CAT53,FB19,PNUTS
Q96QK1	VPS35	VPS35,MEM3,TCCCTA00141
Q96QR8	PURB	PURB
Q96QT6	PHF12	PHF12,KIAA1523
Q96QZ7	MAGI1	MAGI1,AIP3,BAIAP1,BAP1,TNRC19
Q96RK0	CIC	CIC,KIAA0306
Q96RL1	UIMC1	UIMC1,RAP80,RXRIP110
Q96RR4	CAMKK2	CAMKK2,CAMKKB,KIAA0787
Q96RS0	TGS1	TGS1,HCA137,NCOA6IP,PIMT
Q96RT1	ERBIN	ERBIN,ERBB2IP,KIAA1225,LAP2
Q96RU2	USP28	USP28,KIAA1515
Q96RU3	FNBP1	FNBP1,FBP17,KIAA0554
Q96S15	WDR24	WDR24,C16orf21,JFP7
Q96S38	RPS6KC1	RPS6KC1,RPK118
Q96S55	WRNIP1	WRNIP1,WHIP
Q96S66	CLCC1	CLCC1,KIAA0761,MCLC
Q96S82	UBL7	UBL7,BMSCUBP,SB132
Q96S90	LYSMD1	LYSMD1,SB145
Q96S94	CCNL2	CCNL2,SB138
Q96S99	PLEKHF1	PLEKHF1,APPD,LAPF,ZFYVE15
Q96SB3	PPP1R9B	PPP1R9B,PPP1R6
Q96SB4	SRPK1	SRPK1
Q96SN8	CDK5RAP2	CDK5RAP2,CEP215,KIAA1633
Q96ST2	IWS1	IWS1,IWS1L
Q96ST3	SIN3A	SIN3A
Q96SU4	OSBPL9	OSBPL9,ORP9,OSBP4
Q96T17	MAP7D2	MAP7D2
Q96T23	RSF1	RSF1,HBXAP,XAP8
Q96T37	RBM15	RBM15,OTT,OTT1
Q96T58	SPEN	SPEN,KIAA0929,MINT,SHARP
Q96T60	PNKP	PNKP
Q96T88	UHRF1	UHRF1,ICBP90,NP95,RNF106
Q96TA1	NIBAN2	NIBAN2,C9orf88,FAM129B
Q96TC7	RMDN3	RMDN3,FAM82A2,FAM82C,PTPIP51,hucep-10,UNQ3122/PRO10274
Q99081	TCF12	TCF12,BHLHB20,HEB,HTF4
Q99442	SEC62	SEC62,TLOC1
Q99459	CDC5L	CDC5L,KIAA0432,PCDC5RP
Q99460	PSMD1	PSMD1
Q99466	NOTCH4	NOTCH4,INT3
Q99501	GAS2L1	GAS2L1,GAR22
Q99523	SORT1	SORT1
Q99536	VAT1	VAT1
Q99543	DNAJC2	DNAJC2,MPHOSPH11,MPP11,ZRF1
Q99547	MPHOSPH6	MPHOSPH6,MPP6
Q99549	MPHOSPH8	MPHOSPH8,MPP8
Q99567	NUP88	NUP88
Q99569	PKP4	PKP4
Q99575	POP1	POP1,KIAA0061
Q99590	SCAF11	SCAF11,CASP11,SFRS2IP,SIP1,SRSF2IP
Q99594	TEAD3	TEAD3,TEAD5,TEF5
Q99607	ELF4	ELF4,ELFR,MEF
Q99613	EIF3C	EIF3C,EIF3S8
Q99618	CDCA3	CDCA3,C8,GRCC8,TOME1
Q99623	PHB2	PHB2,BAP,REA
Q99626	CDX2	CDX2,CDX3
Q99638	RAD9A	RAD9A
Q99640	PKMYT1	PKMYT1,MYT1
Q99683	MAP3K5	MAP3K5,ASK1,MAPKKK5,MEKK5
Q99700	ATXN2	ATXN2,ATX2,SCA2,TNRC13
Q99728	BARD1	BARD1
Q99729	HNRNPAB	HNRNPAB,ABBP1,HNRPAB
Q99733	NAP1L4	NAP1L4,NAP2
Q99741	CDC6	CDC6,CDC18L
Q99795	GPA33	GPA33
Q99798	ACO2	ACO2
Q99829	CPNE1	CPNE1,CPN1
Q99856	ARID3A	ARID3A,DRIL1,DRIL3,DRX,E2FBP1
Q99871	HAUS7	HAUS7,UCHL5IP,UIP1
Q99929	ASCL2	ASCL2,BHLHA45,HASH2
Q99958	FOXC2	FOXC2,FKHL14,MFH1
Q99959	PKP2	PKP2
Q9BPX3	NCAPG	NCAPG,CAPG,NYMEL3
Q9BPX5	ARPC5L	ARPC5L
Q9BPZ7	MAPKAP1	MAPKAP1,MIP1,SIN1
Q9BQ39	DDX50	DDX50
Q9BQ52	ELAC2	ELAC2,HPC2
Q9BQ70	TCF25	TCF25,KIAA1049,NULP1,FKSG26
Q9BQ89	FAM110A	FAM110A,C20orf55,F10
Q9BQA1	WDR77	WDR77,MEP50,WD45,HKMT1069,Nbla10071
Q9BQE9	BCL7B	BCL7B
Q9BQG0	MYBBP1A	MYBBP1A,P160
Q9BQI3	EIF2AK1	EIF2AK1,HRI,KIAA1369,PRO1362
Q9BQK8	LPIN3	LPIN3,LIPN3L
Q9BQL6	FERMT1	FERMT1,C20orf42,KIND1,URP1
Q9BQQ3	GORASP1	GORASP1,GOLPH5,GRASP65
Q9BQS7	HEPH	HEPH,KIAA0698,UNQ2562/PRO6242
Q9BRD0	BUD13	BUD13
Q9BRG2	SH2D3A	SH2D3A,NSP1,UNQ175/PRO201
Q9BRJ6	C7orf50	C7orf50,FP15621
Q9BRL6	SRSF8	SRSF8,SFRS2B,SRP46
Q9BRP0	OVOL2	OVOL2,ZNF339
Q9BRP8	PYM1	PYM1,PYM,WIBG
Q9BRQ0	PYGO2	PYGO2,PP7910
Q9BRS2	RIOK1	RIOK1,RIO1
Q9BRS8	LARP6	LARP6
Q9BRZ2	TRIM56	TRIM56,RNF109
Q9BSJ6	PIMREG	PIMREG,CATS,FAM64A,RCS1
Q9BSJ8	ESYT1	ESYT1,FAM62A,KIAA0747,MBC2
Q9BSL1	UBAC1	UBAC1,GBDR1,KPC2,UBADC1
Q9BST9	RTKN	RTKN,RTKN1
Q9BTA9	WAC	WAC,KIAA1844
Q9BTC0	DIDO1	DIDO1,C20orf158,DATF1,KIAA0333
Q9BTC8	MTA3	MTA3,KIAA1266
Q9BTD8	RBM42	RBM42
Q9BTE3	MCMBP	MCMBP,C10orf119
Q9BTK6	PAGR1	PAGR1,C16orf53,PA1
Q9BTL3	RAMAC	RAMAC,C15orf18,FAM103A1,RAMMET
Q9BTU6	PI4K2A	PI4K2A
Q9BTX1	NDC1	NDC1,TMEM48
Q9BTY7	HGH1	HGH1,C8orf30A,C8orf30B,FAM203A,FAM203B
Q9BU76	MMTAG2	MMTAG2,C1orf35
Q9BUA3	SPINDOC	SPINDOC,C11orf84
Q9BUB4	ADAT1	ADAT1
Q9BUH6	PAXX	PAXX,C9orf142,XLS
Q9BUI4	POLR3C	POLR3C
Q9BUJ2	HNRNPUL1	HNRNPUL1,E1BAP5,HNRPUL1
Q9BUL9	RPP25	RPP25
Q9BUQ8	DDX23	DDX23
Q9BUR4	WRAP53	WRAP53,TCAB1,WDR79
Q9BUZ4	TRAF4	TRAF4,CART1,MLN62,RNF83
Q9BV40	VAMP8	VAMP8
Q9BV68	RNF126	RNF126
Q9BVC5	C2orf49	C2orf49
Q9BVG4	PBDC1	PBDC1,CXorf26
Q9BVG9	PTDSS2	PTDSS2,PSS2
Q9BVJ6	UTP14A	UTP14A,SDCCAG16
Q9BVS4	RIOK2	RIOK2,RIO2
Q9BW04	SARG	SARG,C1orf116
Q9BW19	KIFC1	KIFC1,HSET,KNSL2
Q9BW61	DDA1	DDA1,C19orf58,PCIA1
Q9BW71	HIRIP3	HIRIP3
Q9BW85	YJU2	YJU2,CCDC94
Q9BW91	NUDT9	NUDT9,NUDT10,PSEC0099,UNQ3012/PRO9771
Q9BWE0	REPIN1	REPIN1,RIP60,ZNF464
Q9BWF3	RBM4	RBM4,RBM4A
