uniprot	gene	synonyms
Q9Y3B9	RRP15	RRP15,KIAA0507,CGI-115
Q9Y3D3	MRPS16	MRPS16,RPMS16,CGI-132
Q9Y3E7	CHMP3	CHMP3,CGI149,NEDF,VPS24,CGI-149
Q9Y3L3	SH3BP1	SH3BP1
Q9Y3M8	STARD13	STARD13,DLC2,GT650
Q9Y3P9	RABGAP1	RABGAP1,HSPC094
Q9Y3Q8	TSC22D4	TSC22D4,THG1,TILZ2
Q9Y3R0	GRIP1	GRIP1
Q9Y3R5	DOP1B	DOP1B,C21orf5,DOPEY2,KIAA0933
Q9Y3S1	WNK2	WNK2,KIAA1760,PRKWNK2,SDCCAG43,P/OKcl.13
Q9Y3T9	NOC2L	NOC2L,NIR
Q9Y3X0	CCDC9	CCDC9
Q9Y3Z3	SAMHD1	SAMHD1,MOP5
Q9Y446	PKP3	PKP3
Q9Y450	HBS1L	HBS1L,HBS1,KIAA1038
Q9Y478	PRKAB1	PRKAB1,AMPK
Q9Y485	DMXL1	DMXL1,XL1
Q9Y487	ATP6V0A2	ATP6V0A2
Q9Y490	TLN1	TLN1,KIAA1027,TLN
Q9Y4A5	TRRAP	TRRAP,PAF400
Q9Y4B4	RAD54L2	RAD54L2,ARIP4,KIAA0809
Q9Y4B5	MTCL1	MTCL1,CCDC165,KIAA0802,SOGA2
Q9Y4B6	DCAF1	DCAF1,KIAA0800,RIP,VPRBP
Q9Y4C1	KDM3A	KDM3A,JHDM2A,JMJD1,JMJD1A,KIAA0742,TSGA
Q9Y4D8	HECTD4	HECTD4,C12orf51,KIAA0614
Q9Y4E1	WASHC2C	WASHC2C,FAM21C,KIAA0592,VPEF
Q9Y4E5	ZNF451	ZNF451,COASTER,KIAA0576,KIAA1702
Q9Y4E6	WDR7	WDR7,KIAA0541,TRAG
Q9Y4E8	USP15	USP15,KIAA0529
Q9Y4F1	FARP1	FARP1,CDEP,PLEKHC2
Q9Y4F3	MARF1	MARF1,KIAA0430,LKAP
Q9Y4F5	CEP170B	CEP170B,FAM68C,KIAA0284
Q9Y4G6	TLN2	TLN2,KIAA0320
Q9Y4G8	RAPGEF2	RAPGEF2,KIAA0313,NRAPGEP,PDZGEF1
Q9Y4H2	IRS2	IRS2
Q9Y4I1	MYO5A	MYO5A,MYH12
Q9Y4K1	CRYBG1	CRYBG1,AIM1
Q9Y4K4	MAP4K5	MAP4K5
Q9Y4P1	ATG4B	ATG4B,APG4B,AUTL1,KIAA0943
Q9Y4P8	WIPI2	WIPI2,CGI-50
Q9Y4W2	LAS1L	LAS1L,MSTP060
Q9Y4X0	AMMECR1	AMMECR1
Q9Y4X4	KLF12	KLF12,AP2REP,HSPC122
Q9Y520	PRRC2C	PRRC2C,BAT2D1,BAT2L2,KIAA1096,XTP2
Q9Y570	PPME1	PPME1,PME1,PP2593,PRO0750
Q9Y572	RIPK3	RIPK3,RIP3
Q9Y597	KCTD3	KCTD3
Q9Y5B0	CTDP1	CTDP1,FCP1
Q9Y5B6	PAXBP1	PAXBP1,C21orf66,GCFC,GCFC1
Q9Y5J1	UTP18	UTP18,WDR50,CDABP0061,CGI-48
Q9Y5K3	PCYT1B	PCYT1B,CCTB
Q9Y5K6	CD2AP	CD2AP
Q9Y5N6	ORC6	ORC6,ORC6L
Q9Y5P4	CERT1	CERT1,CERT,COL4A3BP,STARD11
Q9Y5Q9	GTF3C3	GTF3C3
Q9Y5S2	CDC42BPB	CDC42BPB,KIAA1124
Q9Y5S9	RBM8A	RBM8A,RBM8,HSPC114,MDS014
Q9Y5T5	USP16	USP16,MSTP039
Q9Y5U2	TSSC4	TSSC4
Q9Y5Y0	FLVCR1	FLVCR1,FLVCR
Q9Y5Y5	PEX16	PEX16
Q9Y5Z4	HEBP2	HEBP2,C6orf34,SOUL
Q9Y606	PUS1	PUS1,PP8985
Q9Y608	LRRFIP2	LRRFIP2
Q9Y613	FHOD1	FHOD1,FHOS,FHOS1
Q9Y617	PSAT1	PSAT1,PSA
Q9Y618	NCOR2	NCOR2,CTG26
Q9Y624	F11R	F11R,JAM1,JCAM,UNQ264/PRO301
Q9Y666	SLC12A7	SLC12A7,KCC4
Q9Y6A5	TACC3	TACC3,ERIC1
Q9Y6D5	ARFGEF2	ARFGEF2,ARFGEP2,BIG2
Q9Y6D6	ARFGEF1	ARFGEF1,ARFGEP1,BIG1
Q9Y6D9	MAD1L1	MAD1L1,MAD1,TXBP181
Q9Y6G9	DYNC1LI1	DYNC1LI1,DNCLI1
Q9Y6I3	EPN1	EPN1
Q9Y6J0	CABIN1	CABIN1,KIAA0330
Q9Y6K9	IKBKG	IKBKG,FIP3,NEMO
Q9Y6M1	IGF2BP2	IGF2BP2,IMP2,VICKZ2
Q9Y6M7	SLC4A7	SLC4A7,BT,NBC2,NBC2B,NBC3,NBCn1,SBC2,SLC4A6
Q9Y6N7	ROBO1	ROBO1,DUTT1
Q9Y6N9	USH1C	USH1C,AIE75
Q9Y6Q6	TNFRSF11A	TNFRSF11A,RANK
Q9Y6Q9	NCOA3	NCOA3,AIB1,BHLHE42,RAC3,TRAM1
Q9Y6R1	SLC4A4	SLC4A4,NBC,NBC1,NBCE1
Q9Y6R4	MAP3K4	MAP3K4,KIAA0213,MAPKKK4,MEKK4,MTK1
Q9Y6R9	CCDC61	CCDC61
Q9Y6X4	FAM169A	FAM169A,KIAA0888
Q9Y6X9	MORC2	MORC2,KIAA0852,ZCWCC1
Q9Y6Y0	IVNS1ABP	IVNS1ABP,ARA3,FLARA3,KIAA0850,KLHL39,NS1,NS1BP,HSPC068
Q9Y6Y8	SEC23IP	SEC23IP,MSTP053
A6NIE6;Q9NYV6	RRN3P2;RRN3	RRN3P2;RRN3,TIFIA
A8MT19;Q8IUC4	RHPN2P1;RHPN2	RHPN2P1;RHPN2
E9PAV3;Q13765	NACA;NACA	NACA;NACA,HSD48
G9CGD6;Q6P9H4	CNK3/IPCEF1;CNKSR3	CNK3/IPCEF1;CNKSR3,MAGI1
O14715;Q99666	RGPD8;RGPD5	RGPD8,RANBP2ALPHA,RANBP2L1,RANBP2L3;RGPD5,RANBP2L1,RGP5,RGP7,RGPD7;,RGPD6,RANBP2L2,RGP6
O14950;P19105	MYL12B;MYL12A	MYL12B,MRLC2,MYLC2B;MYL12A,MLCB,MRLC3,RLC
O15320;Q96PC5	MIA2;MIA2	MIA2,CTAGE5,MEA11,MEA6,MGEA11,MGEA6;MIA2,CTAGE5,MEA11,MEA6,MGEA11,MGEA6
O15530;Q6A1A2	PDPK1;PDPK2P	PDPK1,PDK1;PDPK2P,PDPK2
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880	H2BC12;H2BC12L;H2BC5;H2BC4;H2BC18;H2BC9;H2BC15;H2BC14;H2BC13	H2BC12,H2BFT,HIRIP1,HIST1H2BK;H2BC12L,H2BFS,H2BS1;H2BC5,H2BFB,HIRIP2,HIST1H2BD;H2BC4,H2BFL,HIST1H2BC;,H2BC6,H2BFH,HIST1H2BE;,H2BC7,H2BFG,HIST1H2BF;,H2BC8,H2BFA,HIST1H2BG;,H2BC10,H2BFK,HIST1H2BI;H2BC18,HIST2H2BF;H2BC9,H2BFJ,HIST1H2BH;H2BC15,H2BFD,HIST1H2BN;H2BC14,H2BFE,HIST1H2BM;H2BC13,H2BFC,HIST1H2BL
O95997;Q9NZH5	PTTG1;PTTG2	PTTG1,EAP1,PTTG,TUTR1;PTTG2
P04439;P13746;P16188;P30443;P30455	HLA-A;HLA-A;HLA-A;HLA-A;HLA-A	HLA-A,HLAA;HLA-A,HLAA;HLA-A,HLAA;HLA-A,HLAA;HLA-A,HLAA
P0DMV8;P0DMV9	HSPA1A;HSPA1B	HSPA1A,HSP72,HSPA1,HSX70;HSPA1B,HSP72
P12882;Q9UKX2;Q9Y623	MYH1;MYH2;MYH4	MYH1;MYH2,MYHSA2;MYH4
P17612;P22612;P22694	PRKACA;PRKACG;PRKACB	PRKACA,PKACA;PRKACG;PRKACB
P22415;Q15853	USF1;USF2	USF1,BHLHB11,USF;USF2,BHLHB12
P41236;Q6NXS1	PPP1R2;PPP1R2B	PPP1R2,IPP2;PPP1R2B,PPP1R2P3
P53805;Q9UKA8	RCAN1;RCAN3	RCAN1,ADAPT78,CSP1,DSC1,DSCR1;RCAN3,DSCR1L2
P86790;P86791	CCZ1B;CCZ1	CCZ1B,C7orf28B;CCZ1,C7orf28A,CGI-43
Q13627;Q9Y463	DYRK1A;DYRK1B	DYRK1A,DYRK,MNB,MNBH;DYRK1B,MIRK
Q86Z02;Q9H2X6	HIPK1;HIPK2	HIPK1,KIAA0630,MYAK,NBAK2;HIPK2
Q9NQU5;Q9P286	PAK6;PAK5	PAK6,PAK5;PAK5,KIAA1264,PAK7
